algorithm,dataset,n,run,time_sec,peak_mem_bytes
quicksort_random_pivot,sorted,200,1,0.001050167003995739,14576
quicksort_random_pivot,sorted,200,2,0.0003963330018450506,8784
quicksort_random_pivot,sorted,200,3,0.00037125000380910933,7288
mergesort,sorted,200,1,0.0003983329952461645,4000
mergesort,sorted,200,2,0.0003748749950318597,4000
mergesort,sorted,200,3,0.0003684170005726628,4000
quicksort_random_pivot,reverse_sorted,200,1,0.0003765840010601096,7600
quicksort_random_pivot,reverse_sorted,200,2,0.0003679999936139211,7840
quicksort_random_pivot,reverse_sorted,200,3,0.0004097499986528419,12680
mergesort,reverse_sorted,200,1,0.0003824160012300126,4000
mergesort,reverse_sorted,200,2,0.0003812499999185093,4000
mergesort,reverse_sorted,200,3,0.0003765419969568029,4000
quicksort_random_pivot,random,200,1,0.00039029199979268014,8992
quicksort_random_pivot,random,200,2,0.0004772500033141114,12440
quicksort_random_pivot,random,200,3,0.000380583995138295,8040
mergesort,random,200,1,0.0004223340001772158,3464
mergesort,random,200,2,0.0004423339996719733,3464
mergesort,random,200,3,0.00042512499931035563,3464
quicksort_random_pivot,sorted,500,1,0.0011178749991813675,23256
quicksort_random_pivot,sorted,500,2,0.0008955419980338775,13880
quicksort_random_pivot,sorted,500,3,0.0009615000017220154,19192
mergesort,sorted,500,1,0.0009851670038187876,10032
mergesort,sorted,500,2,0.0009490830052527599,10032
mergesort,sorted,500,3,0.0009025839972309768,10032
quicksort_random_pivot,reverse_sorted,500,1,0.0009475830011069775,19064
quicksort_random_pivot,reverse_sorted,500,2,0.0009558750025462359,18928
quicksort_random_pivot,reverse_sorted,500,3,0.0009393340005772188,15904
mergesort,reverse_sorted,500,1,0.00095554199651815,10032
mergesort,reverse_sorted,500,2,0.0009578329991200007,10032
mergesort,reverse_sorted,500,3,0.0009607920001144521,10032
quicksort_random_pivot,random,500,1,0.0010357499995734543,18056
quicksort_random_pivot,random,500,2,0.0010052500001620501,16456
quicksort_random_pivot,random,500,3,0.0015812909987289459,17104
mergesort,random,500,1,0.0011062909979955293,8456
mergesort,random,500,2,0.0011013330004061572,8456
mergesort,random,500,3,0.001069917001586873,8456
quicksort_random_pivot,sorted,1000,1,0.0020906670033582486,59616
quicksort_random_pivot,sorted,1000,2,0.0019705839949892834,37240
quicksort_random_pivot,sorted,1000,3,0.001984666996577289,44192
mergesort,sorted,1000,1,0.0018717080019996502,20000
mergesort,sorted,1000,2,0.0020160830026725307,20000
mergesort,sorted,1000,3,0.001865999998699408,20000
quicksort_random_pivot,reverse_sorted,1000,1,0.0019840839959215373,43696
quicksort_random_pivot,reverse_sorted,1000,2,0.002063667001493741,42056
quicksort_random_pivot,reverse_sorted,1000,3,0.0022098749977885745,44824
mergesort,reverse_sorted,1000,1,0.0018892500011133961,20000
mergesort,reverse_sorted,1000,2,0.0018338330046390183,20000
mergesort,reverse_sorted,1000,3,0.0021199170005274937,20000
quicksort_random_pivot,random,1000,1,0.002127375002601184,40456
quicksort_random_pivot,random,1000,2,0.002033834003668744,39768
quicksort_random_pivot,random,1000,3,0.001917542002047412,42176
mergesort,random,1000,1,0.002096874995913822,20752
mergesort,random,1000,2,0.0022893330024089664,20752
mergesort,random,1000,3,0.0022076659952290356,20752
quicksort_random_pivot,sorted,2000,1,0.004001749999588355,63904
quicksort_random_pivot,sorted,2000,2,0.004239458001393359,67416
quicksort_random_pivot,sorted,2000,3,0.004291292003472336,100064
mergesort,sorted,2000,1,0.003857542003970593,40000
mergesort,sorted,2000,2,0.00386895800329512,40000
mergesort,sorted,2000,3,0.003934209002181888,40000
quicksort_random_pivot,reverse_sorted,2000,1,0.004280666005797684,80832
quicksort_random_pivot,reverse_sorted,2000,2,0.003825458996288944,63696
quicksort_random_pivot,reverse_sorted,2000,3,0.0039037079986883327,74696
mergesort,reverse_sorted,2000,1,0.004040749998239335,40000
mergesort,reverse_sorted,2000,2,0.003738791994692292,40000
mergesort,reverse_sorted,2000,3,0.003957708002417348,40000
quicksort_random_pivot,random,2000,1,0.004091540999070276,82472
quicksort_random_pivot,random,2000,2,0.004194207998807542,77008
quicksort_random_pivot,random,2000,3,0.004120874997170176,64360
mergesort,random,2000,1,0.004773959000885952,40064
mergesort,random,2000,2,0.00465016599628143,40064
mergesort,random,2000,3,0.004474959001527168,40064
quicksort_random_pivot,sorted,5000,1,0.010866500000702217,185016
quicksort_random_pivot,sorted,5000,2,0.011307291999401059,226752
quicksort_random_pivot,sorted,5000,3,0.011070249995100312,184120
mergesort,sorted,5000,1,0.010176999996474478,100000
mergesort,sorted,5000,2,0.010216041002422571,100000
mergesort,sorted,5000,3,0.009890000001178123,100000
quicksort_random_pivot,reverse_sorted,5000,1,0.010254332999465987,169912
quicksort_random_pivot,reverse_sorted,5000,2,0.010958874998323154,204248
quicksort_random_pivot,reverse_sorted,5000,3,0.011660167001537047,212920
mergesort,reverse_sorted,5000,1,0.01039154199679615,100000
mergesort,reverse_sorted,5000,2,0.010322041001927573,100000
mergesort,reverse_sorted,5000,3,0.010350167001888622,100000
quicksort_random_pivot,random,5000,1,0.01123599999846192,178728
quicksort_random_pivot,random,5000,2,0.011863041996548418,202776
quicksort_random_pivot,random,5000,3,0.011387457998353057,225616
mergesort,random,5000,1,0.01254954199976055,101648
mergesort,random,5000,2,0.012398375001794193,101648
mergesort,random,5000,3,0.012478832999477163,101648
