algorithm,dataset,n,time_sec_mean,peak_mem_mean
mergesort,random,200,0.0004299309997198,3464.0
mergesort,random,500,0.0010925136666628,8456.0
mergesort,random,1000,0.002197957997850567,20752.0
mergesort,random,2000,0.0046330279995648,40064.0
mergesort,random,5000,0.012475583333677232,101648.0
mergesort,reverse_sorted,200,0.0003800693327017667,4000.0
mergesort,reverse_sorted,500,0.0009580556652508333,10032.0
mergesort,reverse_sorted,1000,0.0019476666687599,20000.0
mergesort,reverse_sorted,2000,0.003912416665116267,40000.0
mergesort,reverse_sorted,5000,0.0103545833335374,100000.0
mergesort,sorted,200,0.0003805416636168334,4000.0
mergesort,sorted,500,0.0009456113354340999,10032.0
mergesort,sorted,1000,0.0019179303344571666,20000.0
mergesort,sorted,2000,0.003886903003149133,40000.0
mergesort,sorted,5000,0.010094347000025,100000.0
quicksort_random_pivot,random,200,0.00041604199941496666,9824.0
quicksort_random_pivot,random,500,0.0012074303328214334,17205.333333333332
quicksort_random_pivot,random,1000,0.0020262503361057334,40800.0
quicksort_random_pivot,random,2000,0.0041355413316826,74613.33333333333
quicksort_random_pivot,random,5000,0.011495499997787767,202373.33333333334
quicksort_random_pivot,reverse_sorted,200,0.0003847779977756,9373.333333333334
quicksort_random_pivot,reverse_sorted,500,0.0009475973347434333,17965.333333333332
quicksort_random_pivot,reverse_sorted,1000,0.0020858753317345665,43525.333333333336
quicksort_random_pivot,reverse_sorted,2000,0.004003277666924933,73074.66666666667
quicksort_random_pivot,reverse_sorted,5000,0.010957791666442,195693.33333333334
quicksort_random_pivot,sorted,200,0.0006059166698832667,10216.0
quicksort_random_pivot,sorted,500,0.0009916389996457,18776.0
quicksort_random_pivot,sorted,1000,0.0020153059983082,47016.0
quicksort_random_pivot,sorted,2000,0.004177500001484633,77128.0
quicksort_random_pivot,sorted,5000,0.0110813473317345,198629.33333333334
